acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-84,53,-2048,-27,24,2
-79,48,-2035,-22,23,7
-80,54,-2046,-28,24,2
-80,56,-2031,-29,19,7
-79,52,-2044,-23,19,4
-79,60,-2035,-27,24,4
-79,57,-2048,-31,25,5
-83,55,-2047,-21,24,3
-91,60,-2058,-26,23,3
-79,50,-2044,-26,25,4
-84,52,-2043,-25,19,3
-79,59,-2041,-23,23,2
-69,56,-2048,-24,21,3
-83,62,-2039,-25,25,5
-84,62,-2037,-24,23,4
-80,59,-2043,-28,26,2
-80,55,-2043,-30,21,6
-78,59,-2034,-22,25,5
-79,62,-2053,-25,26,5
-80,61,-2043,-22,21,3
-80,54,-2055,-26,25,7
-79,54,-2048,-24,23,8
-81,60,-2047,-25,25,5
-77,60,-2045,-27,24,7
-85,49,-2033,-26,24,11
-87,64,-2043,-26,24,6
-80,57,-2042,-28,23,8
-78,54,-2050,-25,22,7
-81,61,-2046,-28,26,4
-87,55,-2039,-29,23,3
-76,57,-2030,-27,22,6
-76,48,-2054,-24,18,7
-79,60,-2027,-25,21,2
-86,59,-2041,-23,26,8
-78,55,-2032,-27,23,5
-78,57,-2043,-26,21,4
-76,50,-2050,-29,21,2
-74,51,-2030,-28,19,7
-88,58,-2045,-28,24,2
-82,60,-2040,-26,20,8
-83,54,-2052,-26,22,8
-87,48,-2053,-27,26,6
-74,58,-2034,-27,26,6
-82,58,-2042,-24,20,4
-80,59,-2043,-25,21,5
-83,51,-2045,-25,25,4
-76,60,-2039,-26,25,7
-77,59,-2041,-28,25,5
-86,54,-2041,-29,23,9
-87,62,-2041,-27,22,6
-77,52,-2047,-29,23,10
-92,48,-2048,-29,24,8
-72,49,-2042,-27,22,8
-80,50,-2045,-26,21,7
-83,51,-2036,-27,23,2
-87,56,-2051,-28,25,4
-80,67,-2038,-28,25,5
-75,60,-2044,-26,20,11
-83,60,-2049,-28,22,6
-85,52,-2051,-27,25,8
-81,55,-2045,-26,25,6
-78,48,-2032,-30,24,9
-81,49,-2042,-29,21,2
-80,56,-2041,-21,25,4
-81,57,-2036,-28,24,6
-83,53,-2046,-31,22,7
-75,60,-2037,-24,23,8
-82,59,-2047,-30,24,5
-78,50,-2047,-25,21,5
-86,52,-2051,-25,21,5
-82,55,-2045,-24,24,2
-83,46,-2038,-27,22,5
-83,55,-2048,-24,24,0
-78,56,-2057,-26,25,-1
-82,50,-2040,-27,24,6
-78,61,-2059,-26,27,7
-88,54,-2038,-32,24,5
-82,51,-2055,-28,26,6
-84,54,-2045,-26,22,10
-86,55,-2035,-23,24,4
-81,57,-2039,-24,21,8
-75,61,-2047,-27,23,9
